Key_Id,Year,Match_Id,Match_Name,Team1,Team2,Result,Home_Team_Name,Away_Team_Name,Winner,Stage_Name,Group_Name,Group_Stage,Knockout_Stage,Replayed,Replay,Match_Date,Stadium_Id,Stadium_Name,City_Name,Country_Name,Home_Team_Id,Home_Team_Code,Away_Team_Id,Away_Team_Code,Score,Home_Team_Score,Away_Team_Score,Home_Team_Score_Margin,Away_Team_Score_Margin,Extra_Time,Penalty_Shootout,Score_Penalties,Home_Team_Score_Penalties,Away_Team_Score_Penalties,Home_Team_Win,Away_Team_Win,Draw,Unique_Teams
1,1930,M-1930-01,France v Mexico,France,Mexico,home team win,France,Mexico,France,group stage,Group 1,1,0,0,0,7/13/1930,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,FRA,T-44,MEX,4–1,4,1,3,-3,0,0,0-0,0,0,1,0,0,France
2,1930,M-1930-02,United States v Belgium,United States,Belgium,home team win,United States,Belgium,United States,group stage,Group 4,1,0,0,0,7/13/1930,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,USA,T-06,BEL,3–0,3,0,3,-3,0,0,0-0,0,0,1,0,0,United States
3,1930,M-1930-03,Yugoslavia v Brazil,Yugoslavia,Brazil,home team win,Yugoslavia,Brazil,Yugoslavia,group stage,Group 2,1,0,0,0,7/14/1930,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,YUG,T-09,BRA,2–1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Yugoslavia
4,1930,M-1930-04,Romania v Peru,Romania,Peru,home team win,Romania,Peru,Romania,group stage,Group 3,1,0,0,0,7/14/1930,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,ROU,T-54,PER,3–1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Romania
5,1930,M-1930-05,Argentina v France,Argentina,France,home team win,Argentina,France,Argentina,group stage,Group 1,1,0,0,0,7/15/1930,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,ARG,T-28,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Argentina
6,1930,M-1930-06,Chile v Mexico,Chile,Mexico,home team win,Chile,Mexico,Chile,group stage,Group 1,1,0,0,0,7/16/1930,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,CHL,T-44,MEX,3–0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Chile
7,1930,M-1930-07,Yugoslavia v Bolivia,Yugoslavia,Bolivia,home team win,Yugoslavia,Bolivia,Yugoslavia,group stage,Group 2,1,0,0,0,7/17/1930,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,YUG,T-07,BOL,4–0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Uruguay
8,1930,M-1930-08,United States v Paraguay,United States,Paraguay,home team win,United States,Paraguay,United States,group stage,Group 4,1,0,0,0,7/17/1930,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,USA,T-53,PRY,3–0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Brazil
9,1930,M-1930-09,Uruguay v Peru,Uruguay,Peru,home team win,Uruguay,Peru,Uruguay,group stage,Group 3,1,0,0,0,7/18/1930,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,URY,T-54,PER,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Paraguay
10,1930,M-1930-10,Chile v France,Chile,France,home team win,Chile,France,Chile,group stage,Group 1,1,0,0,0,7/19/1930,S-191,Estadio Centenario,Montevideo,Uruguay,T-13,CHL,T-28,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Austria
